Date,Income,Price,Consumption,Sp_inf_adjust,Sp,Consumer_confidence,Policy_uncertainty,Baa_aaa,Real_income_excptTransfer,Salary_pre_tax,Income_tranfer,Unemploy_rate,TransRecpt
1959-01-01,351.5,15.164,306.1,621.64,55.62,,,0.75000,2426.0,252.3,23.9,6.0,9.5
1959-02-01,352.9,15.179,309.6,614.26,54.77,,,0.75000,2434.8,253.6,24.1,5.9,9.8
1959-03-01,355.2,15.189,312.7,629.85,56.16,,,0.72000,2452.7,256.1,24.0,5.6,9.9
1959-04-01,358.2,15.219,312.2,638.19,57.10,,,0.63000,2470.0,258.6,24.0,5.2,9.9
1959-05-01,360.3,15.227,316.1,647.80,57.96,95.3,,0.59000,2486.4,260.8,23.8,5.1,10.1
1959-06-01,362.6,15.271,318.2,640.00,57.46,,,0.58000,2493.9,262.3,24.0,5.0,10.1
1959-07-01,362.8,15.303,317.8,663.12,59.74,,,0.61000,2492.0,262.1,24.1,5.1,10.2
1959-08-01,361.2,15.325,320.2,659.34,59.40,,,0.66000,2477.7,260.2,24.0,5.2,10.4
1959-09-01,362.3,15.365,324.2,631.10,57.05,,,0.66000,2477.7,260.4,24.4,5.5,10.4
1959-10-01,363.4,15.402,322.8,628.40,57.00,,,0.71000,2480.6,261.1,24.5,5.7,10.6
1959-11-01,366.3,15.412,322.9,630.94,57.23,93.8,,0.70000,2497.2,263.2,25.1,5.8,10.6
1959-12-01,370.2,15.430,322.9,651.11,59.06,,,0.70000,2525.8,267.4,24.9,5.3,10.7
1960-01-01,370.8,15.421,323.6,641.94,58.03,,,0.73000,2537.6,270.1,24.4,5.2,10.7
1960-02-01,371.3,15.437,325.3,614.95,55.78,100.0,,0.78000,2539.9,270.8,24.5,4.8,10.7
1960-03-01,371.9,15.446,330.2,606.57,55.02,,,0.76000,2542.2,271.3,25.0,5.4,10.9
1960-04-01,374.7,15.502,336.5,612.32,55.73,,,0.75000,2551.4,273.0,25.1,5.2,10.9
1960-05-01,376.0,15.518,330.0,606.71,55.22,93.3,,0.82000,2557.6,273.7,25.2,5.1,11.0
1960-06-01,376.5,15.525,330.1,627.00,57.26,,,0.81000,2557.0,273.5,25.6,5.4,11.1
1960-07-01,377.7,15.553,331.4,611.45,55.84,,,0.81000,2561.9,274.4,25.6,5.5,11.2
1960-08-01,377.5,15.579,331.6,618.79,56.51,97.2,,0.80000,2555.4,273.8,26.0,5.6,11.2
1960-09-01,378.3,15.588,333.4,600.17,54.81,,,0.76000,2556.1,273.8,26.5,5.5,11.3
1960-10-01,380.1,15.606,335.4,584.40,53.73,,,0.81000,2564.1,274.9,26.5,6.1,11.4
1960-11-01,379.8,15.659,335.4,603.32,55.47,90.1,,0.77000,2549.4,273.7,27.1,6.1,11.5
1960-12-01,378.2,15.662,331.3,617.79,56.80,,,0.75000,2534.5,271.4,27.5,6.6,11.7
1961-01-01,381.9,15.665,332.2,649.55,59.72,,,0.78000,2556.6,273.4,27.8,6.6,11.8
